Analysis,N,Start_ps,End_ps,Mean,Std,Min,Max
Backbone RMSD,81,200.0,1000.0,0.08814127407407407,0.012270770941171318,0.0640935,0.1225927
Radius of gyration,81,200.0,1000.0,0.7220828518518518,0.009204900058000504,0.698489,0.751126
Temperature,401,200.0,1000.0,299.99017753865337,4.365732048571094,287.958771,317.854858
Pressure,401,200.0,1000.0,1.9063323865336685,343.0812677913184,-994.910706,933.143738
Density,401,200.0,1000.0,990.6679583990025,6.762688751297594,970.632507,1010.313965
Potential energy,401,200.0,1000.0,-76865.51913188527,318.4257474633291,-77806.671875,-75652.1875
